"scenario","type","valence","mean","sd"
2,"character","inculpatory",0.717317622446379,0.218561900431981
3,"physical","exculpatory",-0.888556113792093,0.285311421330835
3,"physical","ambiguous",-0.00351185786826999,0.294828758555379
3,"physical","inculpatory",2.58615444952116,0.309517747423459
3,"document","exculpatory",-0.867118374937354,0.272904334054248
3,"document","ambiguous",-0.198199332170986,0.306191001910348
3,"document","inculpatory",2.11413431849084,0.327582124232257
3,"witness","exculpatory",-0.627456362801758,0.243660804577385
3,"witness","ambiguous",-0.0906524662351455,0.178348019747279
3,"witness","inculpatory",1.0941418691287,0.251824968924051
3,"character","exculpatory",-0.296418980198611,0.151915403417005
3,"character","inculpatory",0.72910871883368,0.219141462987472
4,"physical","exculpatory",-0.711059488787866,0.290410310652171
4,"physical","ambiguous",-0.349889678867047,0.290609531846301
4,"physical","inculpatory",1.52924447867117,0.315438523689262
4,"document","exculpatory",-0.824641815181876,0.28992558447447
4,"document","ambiguous",0.193548337995945,0.262129991437591
4,"document","inculpatory",1.38304199385064,0.32245783506801
4,"witness","exculpatory",-0.734098639851389,0.232769869098057
4,"witness","ambiguous",-0.116505316310966,0.17121532910134
4,"witness","inculpatory",1.32187001642797,0.210459740590698
4,"character","exculpatory",-0.275630211994463,0.152061944377425
4,"character","inculpatory",0.727263731911336,0.220711997610211
5,"physical","exculpatory",-1.17963642033115,0.275438403977172
5,"physical","ambiguous",-0.0434131586856501,0.289085113316014
5,"physical","inculpatory",2.90884244885912,0.316354881583456
5,"document","exculpatory",-1.01146469777862,0.265652511118262
5,"document","ambiguous",0.432598211788366,0.290525131256095
5,"document","inculpatory",1.65801729013088,0.318485204943546
5,"witness","exculpatory",-1.04627112605285,0.27595361147195
5,"witness","ambiguous",-0.149119419180303,0.175904138346262
5,"witness","inculpatory",1.31770523469424,0.21434424336277
5,"character","exculpatory",-0.28992845713331,0.146249896073805
5,"character","inculpatory",0.77400854021683,0.223630737964743
6,"physical","exculpatory",-1.1703263786996,0.273001749435015
6,"physical","ambiguous",0.219638063767415,0.292407250137619
6,"physical","inculpatory",2.4687887428087,0.32854902037305
6,"document","exculpatory",-0.774425010255611,0.288258416817771
6,"document","ambiguous",-0.401749991322828,0.315939770573188
6,"document","inculpatory",1.4715671922012,0.317217432227327
6,"witness","exculpatory",-0.762494966891181,0.231194970239777
6,"witness","ambiguous",-0.251042746608311,0.187587762324501
6,"witness","inculpatory",1.30242873332297,0.224853527443339
6,"character","exculpatory",-0.372921374395787,0.150334068015794
6,"character","inculpatory",0.525518716668098,0.24318879967461
7,"physical","exculpatory",-1.10809190296402,0.269836454456863
7,"physical","ambiguous",-0.0413435562181994,0.290287923236666
7,"physical","inculpatory",2.57028574836343,0.324494857484482
7,"document","exculpatory",-0.544717256574255,0.299425727628083
7,"document","ambiguous",0.325933384238338,0.298132610630244
7,"document","inculpatory",1.91789389394898,0.312149819129777
7,"witness","exculpatory",-0.56523519642163,0.243807293363873
7,"witness","ambiguous",-0.199094591681514,0.174922524379821
7,"witness","inculpatory",1.27111546654486,0.209325737313622
7,"character","exculpatory",-0.393750243673229,0.149719233272746
7,"character","inculpatory",0.591066943670879,0.228256960217131
8,"physical","exculpatory",-0.910801305036941,0.277549258882203
8,"physical","ambiguous",-0.0297712622784054,0.287984833120952
8,"physical","inculpatory",2.13204208773378,0.300663148915201
8,"document","exculpatory",-0.900141095362831,0.271246388757831
8,"document","ambiguous",0.639694662387571,0.300270567929286
8,"document","inculpatory",2.50924881685153,0.335688261141982
8,"witness","exculpatory",-0.822397795785158,0.224200755672714
